0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,Pritampura,93,,,4,,,43,,,7,,
,,Shahadra,101,,,4,,,25,,,8,,
,,Shahzada Bagh,90,,,4,,,28,,,6,,
,,Siri Fort,90,,,4,,,30,,,7,,
,,"Town Hall, Ayurvedic Dispensary, Chandni
Chowk, Delhi",96,,,2,,,25,,,10,,
Goa,Amona,"Amona, Bicholim",105,,,4,,,13,,,8,,
,Assanora,"Assanora Junction, Bardez",105,,,4,,,12,,,9,,
,Bicholim,Bicholim,105,,,4,,,13,,,8,,
,Codli,"Codli Tisk, Ponda, Sanguem",105,,,4,,,14,,,8,,
,Cuncolim,Cuncolim,104,,,5,,,12,,,8,,
,Curchorem,"Curchorem, Sanvordem, Quepem",104,,,4,,,9,,,7,,
,Honda,"Honda Junction, Sattari",105,,,4,,,13,,,9,,
,Kundaim,Kundaim Industrial Estate,105,,,4,,,13,,,8,,
,Mapusa,Mapusa town,40,,,2,,,17,,,4,,
,Margao,Margao Town,105,,,4,,,13,,,8,,
,Mormugao,"Fire Brigade Station, Port Trust",7,,,2,,,6,,,4,,
,Panaji,"Old GSPCB premises, Patto",88,,,2,,,15,,,4,,
,Ponda,Ponda Town,105,,,4,,,14,,,8,,
,Sanguem,"Near Railway Station at Kalem, Sanguem",103,,,4,,,9,,,7,,
,Tilamol,"Quepem, Tilamol",104,,,4,,,9,,,7,,
,Tuem,Tuem,105,,,3,,,14,,,9,,
,Usgao,"Usgao Plae, Junction, Ponda",104,,,3,,,12,,,8,,
,Vasco,"Fuse Call Office, Mormugao",89,,,2,,,12,,,4,,
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",89,,,10,,,17,,,14,,
,,Cadilla Bridge Narol,104,,,10,,,24,,,14,,
,,"Bhagavathi Estate, Keval Kanta Road, Rakhiyal",87,,,9,,,18,,,13,,
,,"Dyno Wash,27 Ilaben Estate",105,,,7,,,24,,,15,,
,,L.D. Engg. College,105,,,9,,,19,,,13,,
,,"Shardaben Hospital, Saraspur",96,,,9,,,19,,,13,,
,,"R.C. Technical High School, Mirzapur",95,,,9,,,19,,,14,,
,,"AZL Behrampura, Ahmadabad",96,,,9,,,21,,,14,,
,,"Sola L.T. Chanakyapuri Pumping Station,",78,,,10,,,17,,,13,,
,Anklesvar,Rallis India Ltd.,104,,,10,,,20,,,13,,
,,"Durga Traders, Bhavanafarm Society",104,,,9,,,20,,,13,,
,Jamnagar,Fisheries Office,99,,,9,,,27,,,16,,
,Rajkot,Nr. Sardhara Industrial Corporation,95,,,9,,,53,,,17,,
,,GPCB Regional Offce,95,,,8,,,25,,,15,,
,Surat,S.V.R. Engg. College,104,,,8,,,29,,,15,,
,,"B.R.C. High School, Udhna",104,,,8,,,41,,,18,,
,,Near Air India Office,105,,,8,,,37,,,17,,
,Vadodara,"GPCB Office, Geri Vasahat",99,,,8,,,34,,,16,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,,"Sterling Gelatin Guest House, Vill-Karakhadi
Padia",102,,,10,,,20,,,13,,
,,Dandia Bazaar,101,,,9,,,32,,,17,,
,,CETP Nandesari,103,,,9,,,37,,,18,,
,,Lubrizol,87,,,8,,,28,,,15,,
,Vapi,"GEB, IIIrd Phase, GIDC",93,,,9,,,19,,,14,,
,,"Vapi Nagar Palika, Vapi",87,,,9,,,19,,,13,,
Haryana,Hissar,Urban Estate - II,42,,,5,,,11,,,6,,
,Yamunanagar,Ballarpur Industries,13,,,11,,,18,,,13,,
"Himachal
Pradesh",Baddi,Industry Department Office Building,60,,,1,,,2,,,1,,
,,AHC barotiwala,57,,,1,,,2,,,2,,
,,Housing Board,140,,,1,,,2,,,2,,
,Damtal,Regional Office,129,,,2,,,2,,,2,,
,,Old Road,118,,,2,,,2,,,2,,
,Dharamshala,Kotwali Bazar Dharamshala,99,,,2,,,2,,,2,,
,,"Daari, Dharamshala",123,,,2,,,2,,,2,,
,Gulaba,Gulaba,17,,,2,,,2,,,2,,
,Kala Amb,Kala Amb Industrial Area,153,,,2,,,4,,,3,,
,,Kala Amb Town/Trilokpur,149,,,2,,,4,,,3,,
,Manali,"Nehru Park, Manali, Kullu",105,,,2,,,5,,,2,,
,,"HPSPCB, Hadimba Road, Manali, Kullu",97,,,2,,,3,,,2,,
,Marhi,Marhi,16,,,2,,,2,,,2,,
,Nalagarh,Municipal Council,113,,,2,,,2,,,2,,
,Paonta Sahib,Paonta Sahib,132,,,2,,,5,,,2,,
,,Gondhpur Industrial Area,121,,,2,,,4,,,3,,
,Parwanoo,"Regional Office, Sector- 4",123,,,2,,,2,,,2,,
,,Asst. Commissioner Building Sector I,129,,,2,,,2,,,2,,
,Shimla,Tekka Bench Ridge,18,,,2,,,5,,,3,,
,,"Bus Stand, Winterfield",229,,,2,,,8,,,5,,
,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",135,,,2,,,2,,,2,,
,,"Muncipal Council, NH-21, Mandi",120,,,2,,,2,,,2,,
,Una,"Regional Office, Una",133,,,2,,,2,,,2,,
,,"DIC Building, Mehatpur, Una",126,,,2,,,2,,,2,,
,Vashisht,Vashisht,34,,,2,,,4,,,2,,
"Jammu &
Kashmir",Jammu,"Regional Office, Jammu",90,,,2,,,6,,,4,,
,,"M.A. Stadium, Jewel Chowk",88,,,2,,,6,,,4,,
,,Bari Brahamana Industrial Area,83,,,2,,,6,,,4,,
Jharkhand,Dhanbad,R.O. Dhanbad,24,,,13,,,18,,,15,,
,,"EMTI, Bastacola",25,,,13,,,19,,,15,,
,,"CGM Office, Kusunda",29,,,12,,,18,,,14,,
,Jamshedpur,Bistupur Vehical Testing Centre,65,,,26,,,43,,,36,,
,,Golmuri Vehicle Testing Centre,64,,,27,,,42,,,36,,
,Jharia,M.A.D.A.,29,,,13,,,16,,,14,,
,Ranchi,"Albert Ekka Chowk, Main Road",101,,,17,,,39,,,19,,
,"Saraikela
Kharsawan","RO Building, Adityapur",68,,,26,,,42,,,35,,
,Sindri,BIT / PDIL,25,,,12,,,22,,,14,,
,"West
Singhbhum",Barajamda U.M. Office,64,,,11,,,32,,,17,,
Karnataka,Bagalkote,Bagalkote KSPCB Office Premises,82,,,2,,,2,,,2,,
,Bangalore,"Graphite India, White Field Road",72,,,2,,,2,,,2,,
,,"AMCO Batteries, Mysore Road",100,,,2,,,2,,,2,,
,,"KHB Industrial Area, Yelahanka",98,,,2,,,2,,,2,,
,,Peenya Industrial Area,89,,,2,,,2,,,2,,
,,Victoria hospital,106,,,2,,,2,,,2,,
,,Yeshwanthpura police station,105,,,2,,,2,,,2,,
,,"Jnanabharathi, Bangalore University",59,,,2,,,12,,,4,,
,,"RV College of Engineering, Mysore Road",72,,,2,,,10,,,2,,
