0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,"Maintenance Office of M/s NINL, Duburi",88,,,2,,,2,,,2,,
,Konark,Konark Police Station,84,,,2,,,14,,,2,,
,Paradeep,On roof of PPT Staff Quarter,99,,,12,,,33,,,19,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,,On roof of PPL Gueest,96,,,11,,,52,,,20,,
,,On roof of STP building IFFCO,99,,,13,,,31,,,19,,
,Puri,Sadar police station,56,,,2,,,2,,,2,,
,,Town Police Station,75,,,2,,,5,,,2,,
,Rayagada,Regional Office Orissa SPCB,104,,,2,,,16,,,4,,
,,"LPS High School, Jaykaypur",105,,,1,,,5,,,4,,
,Rourkela,"Regional Office, ORPB",52,,,4,,,8,,,6,,
,,Kalunga Industrial Estate,35,,,9,,,26,,,21,,
,,"DISIR, Rajgangpur",109,,,7,,,19,,,13,,
,,"IDL Police Out-post, Sonaparbat",95,,,5,,,8,,,6,,
,,"Kuarmunda, Sundergarh",104,,,4,,,14,,,7,,
,,"Govt. Hospital Bonai At/Po/PS-Bonai Dist-
Sudargarh",34,,,7,,,12,,,9,,
,Sambalpur,"Filter Plant, PHD Office, Modipara",107,,,4,,,8,,,4,,
,Talcher,Coal Field Area,100,,,7,,,13,,,10,,
,,T.T.P.S.Colony,100,,,6,,,12,,,10,,
Puducherry,Karaikal,"B.Ed College (PKCE), Nehru Nagar",95,,,2,,,12,,,6,,
,,"Govt. Tourist Home, Kovilpathu",94,,,4,,,21,,,9,,
,,"M/s Puducherry Power Corporation Limited,
Polagam, T.R. Pattinam,",98,,,4,,,22,,,10,,
,Puducherry,"DSTC Office Upstairs, PHB 3rd Floor,
AnnaNagar",84,,,3,,,7,,,5,,
,,PIPDIC Ind. Estate Mettupalayam,75,,,4,,,7,,,5,,
,,Chamber Of Commerce,90,,,3,,,6,,,4,,
Punjab,Amritsar,R.O. Focal Point,70,,,9,,,17,,,12,,
,,"A-1,Platers",91,,,10,,,23,,,13,,
,,Rasulpur,24,,,6,,,9,,,7,,
,Bhatinda,"Bathinda Milk Producers, Dabwali Road",65,,,4,,,11,,,6,,
,Dera Bassi,"Punjab Chem and Crop Protection,
Bhanakarpur Rd",126,,,5,,,9,,,6,,
,,"Winsome Yarns Ltd., Barwala Road",128,,,5,,,8,,,6,,
,Faridkot,Basti Himmatpura,37,,,4,,,7,,,5,,
,Gobindgarh,"Modi Oil and General Mills, Mandi",125,,,5,,,10,,,7,,
,,"Raj Steel Rolling Mills, Mandi",131,,,5,,,10,,,7,,
,,"United Rolling Mills, Mandi Gobindgarh",131,,,5,,,11,,,7,,
,Hoshiarpur,"Govt. Senior Sec. School, Mukandpur,
Nawashahar, Shahid Bhagat Singh Nagar",54,,,2,,,14,,,9,,
,Jalandhar,Municipal Council Tubewell No. 27,26,,,11,,,17,,,14,,
,,Regional Office,25,,,10,,,20,,,14,,
,,"Punjab Maltex , Kapurthala Road",111,,,5,,,17,,,12,,
,,Focal Point,123,,,7,,,18,,,13,,
,Khanna,"Markfed Vanaspati, Khanna",129,,,6,,,14,,,10,,
,,"AS School, Khanna",140,,,6,,,12,,,9,,
,Ludhiana,Bharat Nagar Chowk,138,,,5,,,17,,,11,,
,,"Nahar Spining Mlls, Dholewal Chawk",131,,,5,,,17,,,10,,
,,"Ludhiana Coop. Milk Producer, Ferozpur Rd",142,,,6,,,12,,,8,,
,,"PPCB Office Building, Vishavkarma Chowk",138,,,6,,,18,,,9,,
,Naya Nangal,Punjab Alkalis & Chemicals Ltd,116,,,5,,,9,,,6,,
,,"M/s NFL Guest House,Naya Nangal",118,,,5,,,8,,,6,,
,"Pathankot/De
ra Baba",C-PYTE Building,75,,,4,,,9,,,7,,
,Patiala,"Ceylon Industries, Factory Area, Patiala",55,,,4,,,8,,,5,,
,,"Fire Brigade Station, Bahera Road, Patiala",54,,,4,,,6,,,5,,
,Sangrur,Gurdwara Gangsar Sahib,30,,,2,,,10,,,5,,
Rajasthan,Alwar,Rajasthan State Pollution Control Board,83,,,5,,,10,,,6,,
,,Gaurav Solvex Ltd. MIA,93,,,5,,,10,,,8,,
,,"RIICO Pump House, MIA",82,,,5,,,26,,,8,,
,Bharatpur,Khadi Gramoday Samiti,100,,,6,,,15,,,9,,
,,RIICO office Building,98,,,6,,,13,,,8,,
,,"RO, Building",102,,,5,,,11,,,7,,
,Bhiwadi,R.O.Building,94,,,7,,,33,,,12,,
,,UIT Guest House,87,,,7,,,21,,,11,,
,,Uttam Strips Ltd,98,,,7,,,28,,,11,,
,Jaipur,Ajmeri Gate,105,,,5,,,13,,,8,,
,,"RJPB Office,Jhalana Doongari",104,,,4,,,12,,,8,,
,,"District Education Officer, Chandpole",105,,,5,,,14,,,8,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,,"RIICO Office, M.I.A.",105,,,4,,,11,,,8,,
,,"RSPCB, Vidyadhar Nagar",103,,,4,,,15,,,9,,
,,VKIA,104,,,5,,,15,,,9,,
,,"22,Godam, RIICO Office",105,,,4,,,20,,,7,,
,,Mansarovar Nagar Niigam,52,,,5,,,23,,,8,,
,,RIICO Office Sitapura Industrial Area,115,,,4,,,35,,,8,,
,Jodhpur,"DIC Office, Industrial Estate",99,,,4,,,15,,,6,,
,,Sojati Gate,75,,,5,,,15,,,7,,
,,"Basni Industrial Area, RIICO Office",99,,,4,,,25,,,7,,
,,Maha Mandir Police Thane,103,,,4,,,10,,,6,,
,,"Office of Housing Board, Chopasani Road",96,,,4,,,8,,,6,,
,,Shastri Nagar Police Thana,99,,,4,,,26,,,6,,
,,Kudi Mahila Thana,47,,,4,,,8,,,5,,
,,Sangariya Police Choki,48,,,4,,,23,,,6,,
,,SoorsagarThana,47,,,4,,,7,,,5,,
,Kota,"Regional Office, RJPB, Anantpura",101,,,5,,,18,,,9,,
,,Municipal Corporation Building,98,,,5,,,17,,,10,,
,,Samcore Glass Ltd.,97,,,6,,,18,,,9,,
,,FireStation Nagar Nigam Shrinathpuram,68,,,5,,,17,,,7,,
,,"RajasthanTechnical University,Rawatbhata",66,,,6,,,12,,,7,,
,,"Sewage Treatment Plant, Balita, Kota",68,,,5,,,16,,,7,,
,Udaipur,Ambamata,101,,,2,,,11,,,5,,
,,Town Hall,105,,,2,,,17,,,7,,
,,"Regional Office,MIA",106,,,3,,,21,,,9,,
Sikkim,Chungthang,Chungthang,55,,,2,,,14,,,5,,
,Gangtok,"Metro Point Hospital Complex, Forest
Secretariate Deorali",63,,,2,,,12,,,6,,
,Mangan,Mangan Police Station,61,,,2,,,12,,,7,,
,Namchi,Namchi,61,,,2,,,9,,,6,,
,Pelling,The Pelling Girls Hostel,63,,,2,,,12,,,5,,
,Rangpo,Rangpo Fire Station,83,,,2,,,13,,,7,,
,Ravangla,Ravangla Range Office,61,,,2,,,11,,,5,,
,Singtam,Police Station Building,90,,,3,,,13,,,8,,
Tamilnadu,Chennai,"Govt. High School, Manali",92,,,11,,,26,,,14,,
,,Kathivakkam,99,,,10,,,40,,,13,,
,,Thiruvottiyur,94,,,10,,,16,,,13,,
,,Madras Medical College,92,,,2,,,32,,,5,,
,,"NEERI, CSIR CampusTaramani",90,,,2,,,62,,,3,,
,,Thiruvottiyur Municipal Office,90,,,2,,,32,,,7,,
,,Adiyar,92,,,5,,,11,,,8,,
,,Kilpauk,98,,,7,,,12,,,9,,
,,Thiyagaraya Nagar,84,,,7,,,12,,,10,,
,,Anna Nagar,91,,,4,,,11,,,9,,
,Coimbatore,"Poniarajapuram, On the top of DEL",95,,,4,,,8,,,5,,
,,G.D.Matric Hr.Sec.School,97,,,4,,,11,,,5,,
,,"SIDCO Office, Coimbatore/ Kurichi",96,,,4,,,17,,,5,,
,Cuddalore,Eachangadu Village,101,,,8,,,19,,,11,,
,,SIPCOT (Project Office),99,,,8,,,16,,,10,,
,,"DEE Office, Cuddalore",102,,,9,,,22,,,13,,
,Madurai,Highway (Project -I) Building,95,,,6,,,11,,,9,,
,,Fenner (I) Ltd. Kochadai,94,,,11,,,19,,,15,,
,,Kunnathur Chatram Avvai Girls HS School,97,,,9,,,22,,,18,,
,Mettur,Raman Nagar,109,,,5,,,11,,,6,,
,,SIDCO,107,,,5,,,11,,,8,,
,Salem,Sowdeswari College Building,140,,,6,,,15,,,7,,
,Trichy,Gandhi Market,97,,,8,,,27,,,14,,
,,Main Guard Gate,95,,,8,,,22,,,13,,
,,Bishop Heber College,96,,,6,,,13,,,10,,
,,Golden Rock,93,,,8,,,14,,,10,,
,,Central Bus Stand,96,,,9,,,20,,,13,,
,Tuticorin,"Fisheries College, Tuticorin Sipcot",98,,,8,,,23,,,14,,
,,Raja Agencies,97,,,9,,,28,,,15,,
,,AVM Jewellery Building,100,,,7,,,25,,,13,,
Telangana,Adilabad,"Building of SCCL Manadamarri Club
Mandamarri, Adilabad",90,,,4,,,7,,,5,,
,Hyderabad,Balanagar,107,,,3,,,16,,,5,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,,"Tarnaka, NEERI Lab. IICT Campus",89,,,2,,,20,,,5,,
,,"Nacharam, Industrial Estate",90,,,2,,,13,,,5,,
,,ABIDS Circle General Post Office,85,,,2,,,19,,,6,,
,,"Uppal, Modern Foods & Industries IDA",108,,,2,,,6,,,5,,
,,Jublee Hills,107,,,2,,,7,,,5,,
,,Paradise,98,,,2,,,6,,,5,,
,,Charminar,99,,,2,,,11,,,5,,
,,Zoo Park,95,,,3,,,44,,,12,,
,,"Jeedimetla Industrial Estate, Rangareddy Distt.",107,,,2,,,35,,,5,,
,Karimnagar,"On the terrace of the DIC building, Karimnagar",87,,,5,,,10,,,7,,
,Khammam,Station Name: CER Club Khamam,84,,,5,,,9,,,7,,
,,Jalasoudha building,95,,,6,,,9,,,7,,
,Kothur,Mehaboobnagar,92,,,5,,,16,,,8,,
,Nalgonda,AP PCB Nalgonda,87,,,4,,,6,,,5,,
,,"M/s. Srini Pharmaceuticals pvt.
Ltd.Choutuppal (V & M)",84,,,5,,,7,,,6,,
,Nizamabad,"subashnagar,nizamabad dist",87,,,4,,,6,,,5,,
,Patencheru,"Police Station, Medak, Ramachadrapuram",104,,,4,,,6,,,5,,
,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",80,,,6,,,10,,,8,,
,Sangareddy,Pashamylaram/Municipal Office,100,,,1,,,34,,,9,,
,,Regional office Building of SANGAREDDY,96,,,3,,,5,,,5,,
,,"M/s. Mylan Industries, Gaddapothara",97,,,4,,,7,,,5,,
,Warangal,"KUDA Office, Hanumakonda",93,,,6,,,10,,,8,,
,,"Mee-Seva Building ,Municipal Complex",97,,,6,,,18,,,7,,
Tripura,Agartala,"SPCB, Pavivesh Bhawan, Pandit Nehru
Complex, Gorkhabasti, Kunjaban",69,,,16,,,30,,,21,,
,,"Bordowali Bipani Bitan, Agartala MC,
Bordowali, Near Nagerjala",69,,,19,,,37,,,25,,
"Uttar
Pradesh",Agra,"Regional Office, Bodla",89,,,3,,,9,,,6,,
,,Nunhai,97,,,3,,,12,,,8,,
,,Taj Mahal,245,,,2,,,8,,,2,,
,,DIC Nunhai,84,,,2,,,11,,,2,,
,,Etmad-uddaulah,81,,,2,,,19,,,3,,
,,Rambagh,75,,,2,,,8,,,2,,
,Allahabad,Square crossing circle of Laxmi Talkies,106,,,2,,,21,,,5,,
,,Bharat Yantra Nigam Ltd,99,,,2,,,13,,,4,,
,,Alopibagh/Sewage Pumping Stations,113,,,2,,,15,,,4,,
,,Jhonstonganj/co-operative Bank,115,,,2,,,16,,,4,,
,,Rambagh/Parag Dairy,112,,,1,,,40,,,3,,
,Anpara,"Anpara Colony, Sonabhadra",81,,,8,,,23,,,17,,
,,"Renusagar Colony, Sonabhadra",81,,,10,,,22,,,16,,
,Bareily,IVRI Izatnaga,53,,,8,,,13,,,11,,
,,"Indian oetrol pump, Civil Line",51,,,10,,,14,,,12,,
,Firozabad,Center for Development of Glass Industry,62,,,7,,,11,,,9,,
,,Tilak Nagar,61,,,0,,,11,,,9,,
,,Raza ka Tal,61,,,7,,,11,,,9,,
,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",96,,,7,,,42,,,20,,
,,"Indira Chowk, J.P. Nagar",95,,,6,,,43,,,24,,
,Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",69,,,10,,,45,,,24,,
,,Bulandshaar Road Industrial Area,54,,,9,,,48,,,20,,
,Gorakpur,"M. M.M. Engineering College, Gorakhpur",50,,,6,,,8,,,7,,
,,"India Glycol Ltd. Gida, Gorakhpur",50,,,29,,,35,,,31,,
,,"Jalkal, Muncipal Corporation, Golghar",50,,,22,,,28,,,24,,
,Jhansi,Manik Chawk / Jal chauraha,103,,,5,,,21,,,7,,
,,Veeranga Nagar,103,,,4,,,18,,,6,,
,Kanpur,"Forest & Training Centre, Kidwai Nagar",61,,,6,,,9,,,7,,
,,"Chamber Of Commerce Darshanpurwa/
Deputy ka Parao",90,,,6,,,9,,,8,,
,,"Associated Chem Pvt Ltd, Fazalganj, Panki,
Site-5",78,,,7,,,10,,,8,,
,,Dabauli / Shastri NGR,78,,,6,,,9,,,8,,
,,Jajmau / Awas Vikas,85,,,6,,,9,,,8,,
,,"I.I.T. Campus, Kanpur",98,,,2,,,2,,,2,,
,,"Dada Nagar, Kanpur",92,,,5,,,24,,,10,,
,,"Ramadevi, Kanpur",69,,,2,,,8,,,5,,
,Khurja,Central Glass & Ceramic Research Institute,94,,,22,,,27,,,24,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,,Ahirpara,96,,,19,,,25,,,22,,
,Lucknow,Mahanagar,53,,,6,,,23,,,9,,
,,"Chandganj Garden, Aliganj",69,,,5,,,10,,,8,,
,,"Kapoor Hotel, Hazratganj",64,,,6,,,15,,,9,,
,,Talkatora,54,,,6,,,31,,,9,,
,,Aminabad / S.M.K Chowk,77,,,6,,,23,,,9,,
,,Nagar Nigam,70,,,5,,,12,,,8,,
,,"Ansal Technical Institute Campus, Ansal API",56,,,6,,,11,,,8,,
,,Vikas Khand,68,,,2,,,2,,,2,,
,Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",35,,,9,,,15,,,10,,
,,"CETP, Industrial Area, Mathura",35,,,9,,,28,,,12,,
,Meerut,Begum Bridge,54,,,7,,,7,,,7,,
,,Thana Railway Road / Kesarganj,54,,,5,,,7,,,6,,
,Moradabad,"Hindu College, Station Road",85,,,8,,,49,,,24,,
,,"Central Police Hospital, Civil Lines",87,,,8,,,35,,,18,,
,Noida,"UP PPCB, E-12/1, Sector - 1",89,,,7,,,30,,,12,,
,,Gee-Pee Electroplating and Eng. Work,85,,,6,,,27,,,12,,
,Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",74,,,7,,,11,,,9,,
,,Khoya mandi Tiraha Lucknow Road Raebareli,74,,,13,,,17,,,15,,
,,Amawan Road Ind. Area Raebareli,75,,,9,,,11,,,10,,
,Saharanpur,"SRE-A, IIT Roorkee, Saharanpur Campus",64,,,11,,,18,,,15,,
,,"UPCL S.E. Office, Near Clock Tower",64,,,13,,,19,,,16,,
,Unnao,"H. No. 5, Krishna Nagar",95,,,6,,,11,,,9,,
,,"IIA Building, Industrial Area, Site 10",94,,,9,,,11,,,10,,
,Varanasi,"Regional Office, Jawahar Nagar",95,,,3,,,26,,,10,,
,,Sigra,83,,,2,,,18,,,9,,
,,Saket Nagar,62,,,7,,,14,,,11,,
,,BHU,62,,,6,,,14,,,10,,
,,Chandpur,60,,,9,,,17,,,12,,
"Uttarakhan
d",Dehradun,"Raipur Road, Near parag Diary",33,,,22,,,29,,,26,,
,,"Clock Tower, PWD Guest House",38,,,22,,,27,,,25,,
,,Himalaya Drug Co. Near ISBT,31,,,23,,,28,,,27,,
,Haridwar,"SIDCUL, Haridwar",71,,,19,,,28,,,23,,
,Rishikesh,Nagar Palika Parishad,69,,,17,,,26,,,22,,
,Bankura,Bankura Municipility,104,,,2,,,9,,,2,,
,Bolpur,Bolpur Municipility,104,,,2,,,7,,,2,,
,Rampurhat,Rampurhat Municipility,104,,,2,,,7,,,2,,
,Suri,Suri Municipility,104,,,2,,,8,,,2,,
,Coochbehar,ABM Seal College,104,,,2,,,2,,,2,,
,,"Uttarbanga Krishi Visvavidyalaya, Pundibari",103,,,2,,,2,,,2,,
,Balurghat,Balurghar College,104,,,2,,,2,,,2,,
,Darjeeling,Bose Institute Campus,54,,,2,,,2,,,2,,
,Siliguri,Siliguri,103,,,2,,,2,,,2,,
,Chinsura,"Chinsura Municipility, Pipulpati Auto Stand",104,,,4,,,9,,,6,,
,Dankuni,"Krishnanagar Municipility, Dankuni",104,,,3,,,8,,,5,,
,Rishra,Rishra Municipility,104,,,2,,,11,,,6,,
,Tribeni,Tribeni Health Center,104,,,3,,,8,,,5,,
,Howrah,Howrah Municipal Corporation,104,,,6,,,24,,,11,,
,,"Naskarpara Pump House, Ghuseri",104,,,4,,,30,,,10,,
,,"CDS & Health Centre, Bator",104,,,5,,,16,,,9,,
,,"Howrah Municipality School, Bandhaghat",104,,,6,,,37,,,13,,
,Sankrail,Bharat Co-op Housing Society,104,,,3,,,12,,,6,,
,,"Bagan Police Station, Bagan",104,,,3,,,9,,,5,,
,,Dhulagar Gram Pachayat,104,,,3,,,8,,,6,,
,,"P Mukherjee's House, Near SBI Amta",104,,,2,,,8,,,4,,
,Uluberia,"ESI hospital nursing building, 3rd floor, Near
Sahib Mandir",104,,,3,,,9,,,5,,
,Jalpaiguri,Raninagar Jalpaigur,104,,,2,,,2,,,2,,
,Kolkata,"Salt Lake, Rooftop of CK Market",106,,,2,,,9,,,3,,
,,"KMC office Building, Moulali",108,,,2,,,14,,,6,,
,,"Minto Park, Inside Park AJC Bose Road",104,,,2,,,10,,,5,,
,,"Dunlop Bridge, National Sample Survey",104,,,2,,,16,,,6,,
,,"Behala Chowrasta, Traffic Guard Building",104,,,2,,,12,,,5,,
,,"Upanagari Sporting Club, Baishnabghata",104,,,2,,,8,,,3,,
,,"Cossipore Police Station, B.T. Road",97,,,1,,,275,,,21,,
,,"Dalhousie Square, Lal Bazzar Police Headqtr.",96,,,2,,,70,,,8,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,,Kasba,94,,,2,,,37,,,4,,
,,"Infectious Diseases & BG Hospital, Beliaghata",108,,,2,,,10,,,4,,
,,"CESC Building, Mandeville Gardens, Gariahat",104,,,2,,,9,,,4,,
,,"Administrative Building, Hyde Road",104,,,2,,,16,,,7,,
,,"KMC Drainage, Pumping Station, 9 Mominpur
Road, Mominpur",104,,,2,,,10,,,3,,
,,Paribesh Bhawan,107,,,2,,,11,,,4,,
,,"Milan Tirtha Club, Picnic Garden",105,,,2,,,8,,,3,,
,,"Public Health Engineering Office Building,
Rajarhar",108,,,2,,,6,,,3,,
,,"Tennis Club Biulding, 45-46 Canal West Road,
Fariapukur, Shyambazar",104,,,2,,,14,,,5,,
,,"Elite India Rubber Products Pvt.Ltd., Topsia",104,,,2,,,16,,,6,,
,,"Maniktala Fire Station Building, 17, Bagmari
Lane, Ultadanga",108,,,2,,,13,,,5,,
,Malda,"WBPCB Office, Paribesh Bhaban, Vill.
Abhirampur",103,,,2,,,4,,,2,,
,Baharampur,Md. Mozzammal Hossain's House,104,,,5,,,10,,,7,,
,Kalyani,"College of Medicine & JNM Hospital, Kalyani
Industrial Area",104,,,3,,,10,,,7,,
,Ranaghat,"Ranaghat Municipility, 11 school lane",104,,,4,,,11,,,7,,
,Krishnanagar,"Krishnanagar Municipility, TN Thakur Road",104,,,3,,,40,,,7,,
,Barasat,"Barasat Municipility, 73 Rishi Bankim Chandra
Road",104,,,3,,,10,,,7,,
,Barrackpore,Barrackpore Municiaplity,104,,,2,,,10,,,7,,
,,Dum Dum Telephone Exchange,104,,,3,,,9,,,7,,
,,Khardah Municipality,104,,,4,,,14,,,7,,
,Asansol,Asansol Municipal Corporation,104,,,2,,,15,,,12,,
,,"Kangsabati Spinning Mill, Barjora",104,,,2,,,16,,,12,,
,,"Burnpur Town Department, Burnpur",104,,,2,,,16,,,12,,
,Durgapur,"DMC Water Works, Angadpur",104,,,2,,,13,,,12,,
,,"Kwality Hotel, Bhiringi More, Benachiti",104,,,2,,,16,,,12,,
,,"Bidhannagar, PCBL Club, Muchipara",103,,,5,,,22,,,12,,
,,"Dew India Limited, PCBL More, Durgapur",104,,,2,,,16,,,12,,
,Ghatal,"Annapurna Hotel, Ghatal-Panskura Bus Stand",104,,,9,,,22,,,13,,
,Kharagpur,"AMD Building, TATA Bearing",104,,,10,,,21,,,15,,
,Medinipur,Vidyasagar University,104,,,9,,,18,,,12,,
,Haldia,"Debhog Milan Viyapith, Bhabanipur",104,,,9,,,18,,,12,,
,,"Bhunia Raichak, Driver's Hut, Bhunia",104,,,9,,,23,,,15,,
,,"Supermarket Building, Durgachak",104,,,9,,,22,,,14,,
,,WBIIDC Ruchi Soya Ind. Durgachak,104,,,9,,,20,,,14,,
,Tamluk,"HP Gas Service Station, Maniktala",104,,,9,,,22,,,15,,
,Purulia,Purulia Municipility,104,,,2,,,7,,,2,,
,"South
Suburban","Bauipur Police Station, Baruipur",104,,,2,,,9,,,3,,
,,"P Roy Industrial Training Institute, Amtala",105,,,2,,,9,,,3,,
,,Tollygunge (KOLKATA DISTRICT),105,,,2,,,10,,,4,,
,Raigun,Raigunj College,104,,,2,,,2,,,2,,
,Raniganj,Raniganj Municipality,104,,,2,,,15,,,12,,
,,"Mangalpur, SKS School Mangalpur",104,,,2,,,15,,,12,,
,,Jamuria Municipality,104,,,2,,,16,,,12,,
,,Bardhaman Town,102,,,2,,,13,,,5,,
State,City,Location,,No. of monitoring,,,NO2 concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
"Andhra
Pradesh",Anantapur,Kamala Nagar,110,,,11,,,50,,,18,,
,Chitoor,GNC Toll Gate Tirumala,101,,,12,,,139,,,75,,
,,"Near M/s.Nutrine Confectionery,
Palamaner Road",106,,,10,,,23,,,13,,
,Eluru,At Ashram Diagnostic Centre,112,,,21,,,36,,,26,,
,Guntur,"Near Hindu College, Market Road",113,,,20,,,35,,,26,,
,Kadapa,"Near ICL, Yerraguntla, YSR",110,,,10,,,30,,,13,,
,Kakinada,Office Building Ramanayyapeta,105,,,11,,,32,,,18,,
,Kurnool,"Mourya Inn, Krishna Nagar",111,,,10,,,41,,,15,,
,Nellore,"Venkatareddy nagar, Vedayapalem",112,,,20,,,34,,,27,,
,Prakasam,"Near Court Center, Ongole",110,,,21,,,35,,,27,,
,Rajahmundry,Staff Clud Building,103,,,11,,,29,,,18,,
,Srikakulam,"SAMKRG Pistons Quarters Bulding,Near
IDA,Pydibhimavaram",111,,,10,,,29,,,18,,
,Tirupati,"Regional Science Centre, Chittoor
Bypass",104,,,10,,,33,,,12,,
,Vijaywada,Benz Circle,109,,,22,,,44,,,29,,
,,Autonagar,111,,,22,,,41,,,30,,
,,Police Control Room,110,,,21,,,39,,,29,,
,"Vishakhapatna
m","Industrial Estate, Marripalem",106,,,9,,,41,,,17,,
,,"Panchayat Raj office, Mindi",109,,,9,,,47,,,17,,
,,Police Barracks,111,,,10,,,41,,,23,,
,,"INS-Virabahu, Naval Area",109,,,10,,,40,,,15,,
,,Seethammadhara,109,,,10,,,37,,,16,,
,,Ganapuram Area,109,,,10,,,45,,,21,,
,,"Pedagantyada, Gajuwada",112,,,10,,,30,,,15,,
,,"CWMP, RAMKY, Parawada",110,,,9,,,38,,,15,,
,Vizianagaram,"APIIC Building at IDA Bobbili Growth
Center,Vizianagaram",107,,,11,,,30,,,17,,
,Itnagar,PPC's Office compound itanagar,46,,,3,,,17,,,8,,
,Naharlagun,APSPCB Office compound,49,,,2,,,11,,,6,,
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",90,,,11,,,29,,,13,,
,,Barpara Office Building,89,,,10,,,31,,,12,,
,Daranga,"BATAD, Baska",84,,,10,,,21,,,15,,
,Dibrugarh,Dibrugarh Office Building,92,,,10,,,27,,,16,,
,Golaghat,Golaghat Office Building,90,,,7,,,21,,,14,,
,Guwahati,"Head Office, Bamunimaidam",139,,,11,,,25,,,16,,
,,"Boragaon, IASST, Kamrup",128,,,12,,,24,,,17,,
,,"Guwahati University, Kamrup",128,,,10,,,22,,,17,,
,,"ITI Building, Gopinath Nagar",137,,,12,,,32,,,16,,
,,"Khanapara, Central Dairy, Kamrup",142,,,11,,,23,,,16,,
,,"Near Pragjyotish College, Santipur",137,,,11,,,25,,,16,,
,Lakhimpur,"Bazar Patti, North Lakhimpur Town",92,,,10,,,25,,,17,,
,Margherita,Coal India Office,80,,,8,,,22,,,14,,
,Nagaon,"Water Resources Div., Christian Patty",82,,,10,,,24,,,16,,
,Nalbari,PWD Rural Div Office Complex,94,,,10,,,23,,,16,,
,Sibsagar,Sibasagar Office Building,96,,,8,,,15,,,12,,
,,"Usha Lodge, near ONGCL Colony",97,,,10,,,18,,,14,,
,Silchar,Janiganj Govt. Boys HS School campus,84,,,10,,,14,,,11,,
,,"RLO, Ithkola Market, Ghaniwala Road",84,,,7,,,12,,,9,,
,Tezpur,Tezpur Office Building,100,,,12,,,24,,,17,,
,Tinsukia,"Digboi Carbon factory Campus, Borguri",93,,,9,,,23,,,15,,
,,"Shreepuria, Borguri",91,,,7,,,27,,,16,,
,,Shivdham,91,,,9,,,26,,,15,,
Bihar,Begusarai,Begusarai,96,,,18,,,28,,,23,,
,Bodhgaya,"Godam Road, Raja Market",95,,,14,,,31,,,22,,
,Darbhanga,"Ashok Hotel,Kadirabad chowk",104,,,10,,,30,,,19,,
,Muzaffarpur,"BSPCB Regional Office, Bela Industrial
Area",103,,,12,,,33,,,20,,
,Patna,"Beltron Bhawan, Shastri Nagar",75,,,11,,,52,,,27,,
,,"Gandhi Maidan, Auto Exhaust Test
Centre",76,,,27,,,71,,,50,,
,Rajgir,"Sujkund, Near Samuraji hotel",103,,,15,,,31,,,22,,
State,City,Location,,No. of monitoring,,,NO2 concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,Sasaram,"Takia,Ward no.2, Rhotas",113,,,15,,,33,,,22,,
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",144,,,7,,,63,,,21,,
,,Sector-17 C,144,,,2,,,71,,,16,,
,,"Punjab Engineering College, Sector- 12",138,,,4,,,50,,,14,,
,,"Sector-39, IMTECH",145,,,3,,,52,,,16,,
,,Kaimbwala Village,144,,,3,,,40,,,14,,
,Bhillai,"Visak Hostel, Sector-4",43,,,15,,,26,,,20,,
,,"R.O., 5/32 Banglow Office Building",41,,,13,,,18,,,15,,
,,M.P. Laghu Udyog Nigam,37,,,24,,,34,,,28,,
,Bilaspur,"Regional Office, CECB Vyapar Vihar",95,,,14,,,25,,,19,,
,Korba,"HIG 21,22.Near Ghantaghar, MP
Extension",80,,,17,,,29,,,20,,
,,"Pragati Nagar NTPC Colony, Jamnipali",77,,,15,,,21,,,19,,
,Raipur,"New HIG-9, Hirapur",53,,,15,,,37,,,26,,
,,M/S Wool Worth India Pvt. Ltd. Sarora,55,,,16,,,40,,,28,,
"Dadra &
Nagar Haveli",Silvassa,"Khadoli Industrial Area, Khadoli",95,,,18,,,32,,,24,,
,,"Chetan Guest House, Near Post Office",95,,,12,,,34,,,24,,
,,"M/s. Baldevi, Dandul Faliya",95,,,14,,,30,,,23,,
