0,1,2,3,4,5,6,7,8,9,10
,,Chamber Of Commerce,2,,,4,,,3,
,Amritsar,R.O. Focal Point (earlier Nagina soap factory),11,,,16,,,13,
,,"Vinod Chilling Center / Kochar Bhavan (earlier A-
1,Platers)",9,,,30,,,13,
,Aspal Khurd (Tapa),"Vill:Aspal Khurd, Teh:Tapa",2,,,13,,,7,
,Bara Pind (Goraya),"Vill:Bara Pind, Teh:Goraya",5,,,9,,,6,
,Bhatinda,"Bathinda Milk Producers, Dabwali Road",3,,,10,,,6,
,Binjon (Garshankar),"CHC, Vill:Binjon, Teh: Garshankar",4,,,9,,,6,
,Bishanpura (Payal),"Longowalia Yarns (Unit-II), Vill-Bishanpura, Teh:
Payal",4,,,19,,,9,
,Changal (Sangrur),"Mastuana Sahib, Vill:Changal, Teh:Sangrur",3,,,12,,,6,
,Dera Baba Nanak,C-PYTE Building,4,,,11,,,7,
,Dera Bassi,"Punjab Chem and Crop Protection, Bhanakarpur
Rd",3,,,12,,,7,
,,"Winsome Yarns Ltd., Barwala Road",2,,,11,,,7,
,Fatehpur (Samana),"Baba Banda Singh Bahadur College, Vill:Fatehpur,
Teh:Samana",2,,,14,,,7,
,Gobindgarh,"Modi Oil and General Mills, Mandi",4,,,12,,,7,
,,"Raj Steel Rolling Mills, Mandi",4,,,14,,,7,
,,"United Rolling Mills, Mandi Gobindgarh",3,,,15,,,7,
,"Guru Ki Dhab
(Kotkapura)","Vil:Guru Ki Dhab / Basti Himmatpura,
Teh:Kotkapura",2,,,11,,,5,
,Jaito Sarja (Batala),"Royal Nursing College, Vill: Jaito Sarja, Teh: Batala",4,,,9,,,5,
,Jalandhar,Municipal Council Tubewell No. 27,10,,,20,,,13,
,,Regional Office,10,,,20,,,13,
,,"Punjab Maltex , Kapurthala Road",7,,,18,,,10,
,,Focal Point,9,,,15,,,12,
,Kharaori (Sirhind),"Vill:Kharaori, Teh:Sirhind",2,,,12,,,7,
,Kotladoom (Ajnala),"Satyam College, Ramtirath Road, Vill: Kotladoom,
Teh: Ajnala",4,,,9,,,7,
,Ludhiana,Bharat Nagar Chowk / RO Gill Road,5,,,16,,,8,
,,"Nahar Spining Mlls, Dholewal Chawk",5,,,17,,,8,
,,"Ludhiana Coop. Milk Producer, Ferozpur Rd",4,,,32,,,7,
,,"PPCB Office Building, Vishavkarma Chowk",7,,,39,,,10,
,"Mukandpur
(Nawashahar)","Govt. Senior Sec. School, Vill:Mukandpur,
Teh:Nawashahar",8,,,13,,,9,
,Mureedke (Batala),"Johal Farm, Vill: Mureedke, Teh: Batala",4,,,11,,,7,
,"Naudhrani
(Malerkotla)","Vill:Naudhrani, Teh:Malerkotla",2,,,12,,,6,
,Naya Nangal,Punjab Alkalis & Chemicals Ltd,3,,,15,,,7,
,,"M/s NFL Guest House,Naya Nangal",2,,,13,,,8,
,Patiala,"Ceylon Industries, Factory Area, Patiala",2,,,11,,,7,
,,"Fire Brigade Station, Bahera Road, Patiala",2,,,12,,,7,
,"Qila Bharian
(Sangrur)","Gurdwara Gangsar Sahib, Vill:Qila Bharian,
Teh:Sangrur",2,,,19,,,6,
,Rakhra (Patiala),"Shree Ganesh Group of Institute, Vill:Rakhra,
The:Patiala",2,,,13,,,7,
,Rohila (Samrala),"Gopimal Kaur Sain Industries Pvt. Ltd, Vil:Rohila,
Teh:Samrala",5,,,15,,,8,
,"Tirathpur (Amritsar
I)","United ITI, Vill: Tirathpur, Teh:Amritsar I (earlier
Sriguru Harkishan Public School,Rasulpur Kalan)",5,,,10,,,7,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
Rajasthan,Alwar,Rajasthan State Pollution Control Board,6,,,15,,,10,
,,Gaurav Solvex Ltd. MIA,9,,,18,,,14,
,,"RIICO Pump House, MIA",10,,,17,,,13,
,Bharatpur,Khadi Gramoday Samiti,7,,,13,,,9,
,,RIICO office Building,7,,,11,,,8,
,,"RO, Building",6,,,10,,,7,
,Bhiwadi,R.O.Building,11,,,62,,,32,
,,UIT Guest House,6,,,43,,,21,
,,Uttam Strips Ltd,7,,,56,,,29,
,Chittorgarh,"Regional Office building, RSPCB, Near FCI
Godown, Chnaderiya",6,,,20,,,10,
,,"Veterinary Hospital, Meeranagar",5,,,18,,,9,
,,"PHED Pump House, Segawa",4,,,14,,,7,
,Jaipur,Ajmeri Gate,4,,,12,,,7,
,,"RJPB Office,Jhalana Doongari",4,,,12,,,7,
,,"District Education Officer, Chandpole",4,,,11,,,7,
,,"RIICO Office, M.I.A.",4,,,13,,,7,
,,"RSPCB, Vidyadhar Nagar",4,,,16,,,7,
,,VKIA,5,,,17,,,9,
,,"22,Godam, RIICO Office",4,,,17,,,6,
,,Mansarovar Nagar Niigam,4,,,10,,,6,
,,RIICO Office Sitapura Industrial Area,5,,,13,,,7,
,Jodhpur,"DIC Office, Industrial Estate",2,,,11,,,5,
,,Sojati Gate,2,,,11,,,6,
,,"Basni Industrial Area, RIICO Office",2,,,16,,,5,
,,Maha Mandir Police Thane,2,,,12,,,5,
,,"Office of Housing Board, Chopasani Road",2,,,10,,,5,
,,Shastri Nagar Police Thana,2,,,11,,,5,
,,Kudi Mahila Thana,2,,,11,,,5,
,,Sangariya Police Choki,2,,,15,,,6,
,,SoorsagarThana,2,,,10,,,4,
,Kota,"Regional Office, RJPB, Anantpura",5,,,8,,,6,
,,Municipal Corporation Building,5,,,14,,,6,
,,Samcore Glass Ltd.,6,,,9,,,6,
,,FireStation Nagar Nigam Shrinathpuram,5,,,14,,,6,
,Udaipur,Ambamata,4,,,8,,,5,
,,Town Hall,5,,,15,,,9,
,,"Regional Office,MIA",5,,,15,,,10,
Sikkim,Chungthang,Chungthang,3,,,9,,,5,
,Gangtok,"White Hall Complex, Tasi view point",3,,,14,,,6,
,Mangan,Mangan Police Station,2,,,7,,,4,
,Namchi,Namchi,3,,,9,,,5,
,Pelling,The Pelling Girls Hostel,3,,,6,,,4,
,Rangpo,Rangpo Fire Station,3,,,14,,,7,
,Ravangla,Ravangla Range Office,3,,,6,,,4,
,Singtam,Police Station Building,2,,,9,,,6,
Tamilnadu,Chennai,"Govt. High School, Manali",6,,,18,,,14,
,,Kathivakkam,6,,,17,,,13,
,,Thiruvottiyur,7,,,18,,,13,
,,Adiyar,6,,,14,,,8,
,,Kilpauk,6,,,14,,,9,
,,Thiyagaraya Nagar,7,,,13,,,10,
,,Nunbakgum,6,,,13,,,9,
,,Anna Nagar,6,,,13,,,10,
,Coimbatore,"Poniarajapuram, On the top of DEL",5,,,9,,,6,
,,G.D.Matric Hr.Sec.School,5,,,12,,,6,
,,"SIDCO Office, Coimbatore/ Kurichi",4,,,13,,,8,
,Cuddalore,Eachangadu Village,7,,,16,,,13,
,,SIPCOT (Project Office),5,,,17,,,11,
,,"DEE Office, Cuddalore",10,,,25,,,16,
,Madurai,Highway (Project -I) Building,7,,,15,,,11,
,,Fenner (I) Ltd. Kochadai,7,,,19,,,13,
,,Kunnathur Chatram Avvai Girls HS School,6,,,16,,,12,
,Mettur,Raman Nagar,5,,,10,,,7,
,,SIDCO,4,,,13,,,7,
,Salem,Sowdeswari College Building,4,,,23,,,7,
,Trichy,Gandhi Market,5,,,18,,,11,
,,Main Guard Gate,6,,,19,,,14,
,,Bishop Heber College,5,,,14,,,10,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,,Golden Rock,5,,,14,,,10,
,,Central Bus Stand,8,,,18,,,14,
,Tuticorin,"Fisheries College, Tuticorin Sipcot",3,,,24,,,6,
,,Raja Agencies,3,,,12,,,7,
,,AVM Jewellery Building,3,,,10,,,6,
Telangana,Adilabad,"Building of SCCL Manadamarri Club Mandamarri,
Mancherial",2,,,6,,,5,
,Hyderabad,Balanagar,2,,,9,,,5,
,,"Uppal, Modern Foods & Industries IDA",2,,,8,,,5,
,,Jublee Hills,2,,,9,,,4,
,,Paradise,2,,,8,,,4,
,,Charminar,2,,,8,,,4,
,,Zoo Park,2,,,29,,,4,
,,"Jeedimetla Industrial Estate, Rangareddy Distt.",2,,,10,,,5,
,Karimnagar,"On the terrace of the DIC building, Karimnagar",6,,,11,,,7,
,Khammam,CER Club Khamam,6,,,10,,,7,
,,Jalasoudha building,6,,,10,,,7,
,Kothur,Mehaboobnagar,6,,,11,,,8,
,Nalgonda,AP PCB Nalgonda,2,,,7,,,5,
,,"M/s. Srini Pharmaceuticals pvt. Ltd.Choutuppal (V
& M)",2,,,7,,,5,
,Nizamabad,"subashnagar,nizamabad dist",5,,,7,,,5,
,Patencheru,"Police Station, Medak, Ramachadrapuram",2,,,7,,,5,
,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",4,,,13,,,7,
,Sangareddy,Pashamylaram/Municipal Office,2,,,19,,,6,
,,Regional office Building of SANGAREDDY,2,,,7,,,5,
,,"M/s. Mylan Industries, Gaddapothara",2,,,7,,,5,
,Warangal,"KUDA Office, Hanumakonda",4,,,12,,,7,
,,"Mee-Seva Building ,Municipal Complex",4,,,11,,,7,
Tripura,Agartala,"SPCB, Pavivesh Bhawan, Pandit Nehru Complex,
Gorkhabasti, Kunjaban",2,,,14,,,8,
,,"Bordowali Bipani Bitan, Agartala MC, Bordowali,
Near Nagerjala",2,,,9,,,4,
Uttar Pradesh,Agra,"Regional Office, Bodla",3,,,6,,,4,
,,Nunhai,3,,,16,,,6,
,,Taj Mahal,2,,,35,,,4,
,,DIC Nunhai,2,,,29,,,4,
,,Etmad-uddaulah,2,,,16,,,4,
,,Rambagh,2,,,14,,,3,
,Anpara,"Anpara Colony, Sonabhadra",10,,,20,,,16,
,,"Renusagar Colony, Sonabhadra",12,,,19,,,16,
,Baghpat,"Sarvodaya Hospital, Tatiri Merrut, Baghpat Road",4,,,13,,,10,
,,"Weavetex Overseas Hostel, Khekra, Baghpat",5,,,14,,,10,
,Bareily,IVRI Izatnaga,14,,,45,,,23,
,,"Indian oetrol pump, Civil Line",18,,,62,,,33,
,Firozabad,Center for Development of Glass Industry,5,,,12,,,8,
,,Tilak Nagar,5,,,12,,,7,
,,Raza ka Tal,5,,,12,,,8,
,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",9,,,29,,,18,
,,"Indira Chowk, J.P. Nagar",6,,,38,,,17,
,Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",5,,,28,,,11,
,,Bulandshaar Road Industrial Area,4,,,65,,,11,
,,"Khora Colony, Ghaziabad",6,,,16,,,10,
,,"Vinoba Bhave Park, Lohia Nagar, Ghaziabad",6,,,15,,,9,
,Gorakpur,"M. M.M. Engineering College, Gorakhpur",2,,,22,,,3,
,,"India Glycol Ltd. Gida, Gorakhpur",2,,,43,,,19,
,,"Jalkal, Muncipal Corporation, Golghar",2,,,42,,,7,
,Greater Noida,"Holland Tractor, Greater Noida",5,,,16,,,10,
,,"Honda Power, Greater Noida",5,,,16,,,10,
,Hapur,"Srinagar Colony, Railway Road, Hapur",4,,,136,,,22,
,,"Jindal Pipes Ltd, Hapur",4,,,34,,,14,
,Jhansi,Manik Chawk / Jal chauraha,3,,,19,,,6,
,,Veeranga Nagar,2,,,15,,,5,
,Kanpur,"Forest & Training Centre, Kidwai Nagar",7,,,48,,,12,
,,"Chamber Of Commerce Darshanpurwa / Deputy
ka Parao",7,,,49,,,10,
,,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site-5",8,,,43,,,12,
,,"Head Post Office, Govind Nagar / Dabauli /
Shastri NGR",7,,,34,,,11,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,,Jajmau / Awas Vikas,6,,,22,,,9,
,,"Dada Nagar, Kanpur",2,,,9,,,4,
,Khurja,Central Glass & Ceramic Research Institute,9,,,32,,,20,
,Lucknow,Mahanagar,6,,,11,,,8,
,,"Chandganj Garden, Aliganj",3,,,10,,,7,
,,"Kapoor Hotel, Hazratganj",5,,,10,,,8,
,,Talkatora,5,,,11,,,8,
,,Aminabad / S.M.K Chowk,6,,,16,,,8,
,,Nagar Nigam,5,,,15,,,8,
,,"Ansal Technical Institute Campus, Ansal API",3,,,13,,,7,
,,Vikas Khand,2,,,5,,,2,
,Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",7,,,14,,,10,
,,"CETP, Industrial Area, Mathura",7,,,15,,,12,
,Moradabad,"Hindu College, Station Road",8,,,48,,,26,
,,"Central Police Hospital, Civil Lines",8,,,42,,,18,
,Muzaffarnagar,"Sahara Parivar Office, Kamal Cinema, Building,
Railway Station Road",9,,,25,,,14,
,,"Lekhpal Bhawan, Tehsil Sadar Campus",10,,,27,,,15,
,Noida,"UP PPCB, E-12/1, Sector - 1",5,,,25,,,11,
,,Gee-Pee Electroplating and Eng. Work,5,,,28,,,12,
,,"Subros, Noida",5,,,16,,,10,
,,"Golf Course, Noida",6,,,16,,,9,
,Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",3,,,10,,,6,
,,Khoya mandi Tiraha Lucknow Road Raebareli,3,,,15,,,10,
,,Amawan Road Ind. Area Raebareli,3,,,10,,,7,
,Saharanpur,"SRE-A, IIT Roorkee, Saharanpur Campus",4,,,21,,,13,
,,"UPCL S.E. Office, Near Clock Tower",8,,,18,,,12,
,Unnao,"H. No. 5, Krishna Nagar",6,,,9,,,8,
,,"IIA Building, Industrial Area, Site 10",7,,,10,,,9,
,Varanasi,"Regional Office, Jawahar Nagar",5,,,10,,,7,
,,Sigra,5,,,10,,,7,
,,Saket Nagar,4,,,11,,,6,
,,Banaras Hindu University,4,,,9,,,6,
,,Chandpur,5,,,12,,,8,
Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",6,,,26,,,21,
,,"Clock Tower, PWD Guest House",7,,,27,,,22,
,,Himalaya Drug Co. Near ISBT,8,,,29,,,23,
,Haldwani,Govt. Women Hospital,5,,,28,,,8,
,Haridwar,"SIDCUL, Haridwar",3,,,17,,,10,
,Kashipur,"BSNL Office, Kashipur",8,,,29,,,13,
,Rishikesh,Nagar Palika Parishad,6,,,24,,,20,
,Rudrapur,SIDCUL Office,8,,,22,,,13,
West Bengal,Alipurduar,Rabikanta High School,7,,,11,,,9,
,,Jaigaon Police Station,7,,,12,,,9,
,,Birpara Police Station,6,,,12,,,9,
,Amtala,"P Roy Industrial Training Institute, Amtala",4,,,12,,,6,
,Asansol,Asansol Municipal Corporation,6,,,17,,,13,
,,"Kangsabati Spinning Mill, Barjora",9,,,17,,,14,
,,"Burnpur Town Department, Burnpur",7,,,17,,,14,
,Baharampur,Baharampur Municipality,2,,,7,,,2,
,Balurghat,Balurghar College,6,,,13,,,9,
,Bankura,Bankura Municipility,2,,,6,,,2,
,Barasat,"Barasat Municipility, 73 Rishi Bankim Chandra
Road",2,,,8,,,4,
,Bardhaman,"Bardhaman Town, Rajbati",2,,,6,,,2,
,Barrackpore,Barrackpore Municiaplity,2,,,9,,,4,
,,Dum Dum Telephone Exchange,2,,,8,,,3,
,,Khardah Municipality,2,,,9,,,4,
,Baruipur,"Bauipur Police Station, Baruipur",4,,,18,,,9,
,Bolpur,Bolpur Municipility,2,,,4,,,2,
,Chinsura,"Chinsura Municipility, Pipulpati Auto Stand",2,,,8,,,3,
,Coochbehar,ABM Seal College,7,,,12,,,9,
,,"Uttarbanga Krishi Visvavidyalaya, Pundibari",6,,,12,,,9,
,Dankuni,"Krishnanagar Municipility, Dankuni",2,,,8,,,3,
,Darjeeling,Bose Institute Campus,5,,,12,,,8,
,Durgapur,"DMC Water Works, Angadpur",4,,,16,,,13,
,,"Kwality Hotel, Bhiringi More, Benachiti",6,,,17,,,13,
,,"Bidhannagar, PCBL Club, Muchipara",2,,,14,,,8,
,,"Dew India Limited, PCBL More, Durgapur",2,,,16,,,13,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,Ghatal,"Annapurna Hotel, Ghatal-Panskura Bus Stand",7,,,22,,,12,
,Haldia,"Debhog Milan Viyapith, Bhabanipur",7,,,33,,,11,
,,"Bhunia Raichak, Driver's Hut, Bhunia",7,,,26,,,12,
,,"Supermarket Building, Durgachak",7,,,29,,,13,
,,WBIIDC Ruchi Soya Ind. Durgachak,7,,,27,,,12,
,Howrah,Howrah Municipal Corporation,8,,,38,,,13,
,,"Naskarpara Pump House, Ghuseri",7,,,41,,,15,
,,"CDS & Health Centre, Bator",7,,,42,,,13,
,,"Howrah Municipality School, Bandhaghat",7,,,44,,,14,
,Jalpaiguri,Raninagar Jalpaigur,7,,,11,,,8,
,Jhargram,Jhargram,7,,,23,,,12,
,Kalimpong,Kalimpong Municipality,7,,,11,,,8,
,Kalyani,"College of Medicine & JNM Hospital, Kalyani
Industrial Area",2,,,8,,,3,
,Kharagpur,"AMD Building, TATA Bearing",7,,,29,,,14,
,Kolkata,"Salt Lake, Rooftop of CK Market",4,,,13,,,6,
,,"KMC office Building, Moulali",4,,,15,,,8,
,,"Minto Park, Inside Park AJC Bose Road",4,,,14,,,8,
,,"Dunlop Bridge, National Sample Survey",4,,,19,,,9,
,,"Behala Chowrasta, Traffic Guard Building",4,,,10,,,7,
,,"Upanagari Sporting Club, Baishnabghata",4,,,18,,,8,
,,RD CPCB,2,,,35,,,5,
,,"Infectious Diseases & BG Hospital, Beliaghata",4,,,19,,,7,
,,"CESC Building, Mandeville Gardens, Gariahat",4,,,10,,,5,
,,"Administrative Building, Hyde Road",4,,,16,,,10,
,,"KMC Drainage, Pumping Station, 9 Mominpur
Road, Mominpur",4,,,10,,,5,
,,Paribesh Bhawan,2,,,13,,,5,
,,"Milan Tirtha Club, Picnic Garden",4,,,16,,,8,
,,"Public Health Engineering Office Building,
Rajarhar",4,,,16,,,7,
,,"Tennis Club Biulding, 45-46 Canal West Road,
Fariapukur, Shyambazar",4,,,14,,,8,
,,"Elite India Rubber Products Pvt.Ltd., Topsia",4,,,19,,,8,
,,"Maniktala Fire Station Building, 17, Bagmari Lane,
Ultadanga",4,,,18,,,8,
,,Tollygunge,4,,,11,,,5,
,Krishnanagar,"Krishnanagar Municipility, TN Thakur Road",2,,,9,,,3,
,Madhyamgram,Madhyamgram Municipality,2,,,11,,,4,
,Malda,"WBPCB Office, Paribesh Bhaban, Vill. Abhirampur",7,,,13,,,9,
,Medinipur,Vidyasagar University,7,,,23,,,12,
,Purulia,Purulia Municipility,2,,,6,,,2,
,Raigunj,Raigunj College,6,,,12,,,9,
,Rampurhat,Rampurhat Municipility,2,,,5,,,2,
,Ranaghat,"Ranaghat Municipility, 11 school lane",2,,,8,,,3,
,Raniganj,Raniganj Municipality,2,,,17,,,13,
,,"Mangalpur, SKS School Mangalpur",8,,,17,,,13,
,,Jamuria Municipality,2,,,17,,,13,
,Rishra,Rishra Municipility,2,,,8,,,3,
,Sankrail,Bharat Co-op Housing Society,7,,,22,,,11,
,,"Bagan Police Station, Bagan",7,,,30,,,13,
,,Dhulagar Gram Pachayat,7,,,31,,,14,
,,"P Mukherjee's House, Near SBI Amta",7,,,28,,,12,
,Siliguri,Siliguri,5,,,13,,,9,
,Suri,Suri Municipility,2,,,5,,,2,
,Tamluk,"HP Gas Service Station, Maniktala",6,,,36,,,12,
,Tribeni,Tribeni Health Center,2,,,8,,,3,
,Uluberia,"ESI hospital nursing building, 3rd floor, Near
Sahib Mandir",7,,,30,,,13,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State/UT,City/Town/Village,Location,,NO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
Andhra Pradesh,Anantapur,Kamala Nagar,10,,,30,,,15,
,,APIIC Zonl office industrial estate,10,,,23,,,15,
,,"D.No.6/5/545, Ram Nagar Colony",10,,,27,,,14,
,Chitoor,GNC Toll Gate Tirumala,5,,,55,,,17,
,,"Near Nutrine Confectionery, Palamaner Road",9,,,18,,,12,
,,"O/O Mines and Geology, Old Collector Office,
Greamspet",9,,,17,,,11,
,,"Sankar Foundary, Industrial Estate, Adjacent of
DIC Office",9,,,19,,,11,
,,"Rangachari street, Shanthapeta.",9,,,17,,,11,
,Eluru,Ashram Diagnostic Centre,14,,,23,,,18,
,,"M/s Laxmi Propylene Ltd., Plot.No. 25, Industrial
Park, Satrampadu",14,,,22,,,17,
,,"Somalingeswara nilayam D.N.7B-18-5, Thooru
Veedhi, Eastern street, Paidichintaadu",14,,,22,,,17,
,Guntur,"Near Hindu College, Market Road",15,,,66,,,18,
,,"A.P. Pollution Control Board, D.No.4-5-4/5C,4/3,
Navabharath nagar, Ring Road",14,,,25,,,17,
,Kadapa,"Near ICL Industries, Yerragunta, YSR",10,,,24,,,14,
,,"Devi Diabetes & Hormone Centre, 7 Roads",10,,,22,,,13,
,,"DIC Office,Kadapa",10,,,36,,,14,
,,Rajiv Gandhi Institute of Medical Sciences,9,,,22,,,12,
,,Municipal Primary School,9,,,24,,,13,
,Kakinada,Office Building Ramanayyapeta,9,,,22,,,13,
,,"Gram Panchayathi building, Suryaraopeta",10,,,23,,,14,
,,"MEE Seva / MEPMA Office, Sailipeta",9,,,19,,,13,
,,"Petro Chemical Engineering Block, JNTU ,
Pithapuram Road",9,,,20,,,12,
,Kurnool,"Mourya Inn, Krishna Nagar",9,,,24,,,13,
,,"APIIC Building Industrial estate, Kallur at IDA
Bobbili Growth Center",9,,,28,,,14,
,,Rajvihar Circle,10,,,22,,,16,
,,"Pump House, Venkataramana Colony",9,,,23,,,12,
,Nellore,"Venkatareddy Nagar, Vedayapalem",12,,,26,,,17,
,,"D. No.15-471, James Garden, Venkata
Ramapuram, Nellore, SPSR Nellore District",14,,,24,,,17,
,,Chandramouli nagar,14,,,24,,,17,
,,"Dr.P.V. Rama chandra Reddy Hospital,
Brindavnam",12,,,25,,,17,
,Ongole,Near Court Center,12,,,23,,,17,
,,"APIIC, Administrative Office, Growth Centre,
Gundlapalli",11,,,24,,,17,
,,Ongole Municipal Corporation,11,,,20,,,17,
,,Prakasam Milk Product Compay,12,,,20,,,17,
,"Rajahmundry/
Rajamahendravaram","Staff Clud Building, A.P. Paper Mill",10,,,24,,,15,
,,"GAIL Administrative Office, A.V. Apparao Road",9,,,23,,,13,
,,"APEPDCL, Circle Office Godavari Gattu",9,,,23,,,13,
,Srikakulam,"SAMKRG Pistons Quarters Bulding, Near IDA,
Pydibhimavaram",12,,,22,,,18,
,,District cooparative office at SKLM Old Bridge,11,,,23,,,18,
,,"APIIC, Kushalapuram",11,,,26,,,17,
,,"Muncipal corporation Office, Old Bustand",10,,,27,,,17,
,Tirupati,"Regional Science Centre, Chittoor Bypass",9,,,16,,,11,
,,"Municipal Office, Tilak Road",9,,,23,,,12,
,,"APPCB-Regional Office, 1st Floor, APSFC
Building, NT road",9,,,17,,,11,
,,"Sri Venkateswara Guest House (TTD SV Rest
House), Near APSRTC Bus Stand",9,,,20,,,12,
,Vijaywada,"NTR Veterinary college of sciences, Gannavaram",14,,,20,,,17,
,,"VR Siddhartha Engineering college , Kanuru",14,,,20,,,17,
,,"APIIC, IALA, IDA, Kondaplli",13,,,19,,,17,
,,Benz Circle,12,,,33,,,17,
,,Autonagar,13,,,22,,,17,
,,Police Control Room,14,,,21,,,17,
,,"A.P. Pollution Control Board, plot no. 41, Sri
Kanakadurga Officers colony, Gurunank Road",14,,,26,,,17,
,,"Gram Panchayat Office, Yenamalakuduru",13,,,29,,,16,
State/UT,,,,,,,,,,
,,,,,,,,,,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State/UT,City/Town/Village,Location,,NO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,,"Indian Medical Association Hall,Eluru Road,
Governorpet",14,,,28,,,17,
,Vishakhapatnam,"Industrial Estate, Marripalem",13,,,30,,,20,
,,"Panchayat Raj office, Mindi",11,,,26,,,18,
,,Police Barracks,12,,,29,,,20,
,,Seethammadhara,11,,,29,,,18,
,,Ganapuram Area,13,,,30,,,20,
,,"Pedagantyada (V), Gajuwada (M)",12,,,29,,,17,
,,"CWMP, RAMKY, Parawada",13,,,31,,,19,
,,MVP Raitu Bajar,12,,,29,,,17,
,Vizianagaram,"Industrial Growth Centre, APIIC Building at IDA
Bobbili",11,,,20,,,16,
,,"APIIC Building, VT Agraharam,Industrial area",7,,,25,,,17,
,,Muncipal Kaspa High School,11,,,24,,,18,
,,Municipal Office,11,,,25,,,18,
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",10,,,17,,,11,
,,Barpara Office Building,9,,,16,,,11,
,Daranga,"BATAD, Sandoop Jhankar town of Bhutan, Baska",9,,,16,,,12,
,Dibrugarh,Dibrugarh Office Building,8,,,17,,,11,
,Golaghat,Golaghat Office Building,9,,,16,,,12,
,Guwahati,"Head Office, Bamunimaidam",6,,,25,,,13,
,,"Boragaon, IASST, Kamrup",10,,,18,,,13,
,,"Guwahati University, Kamrup",8,,,18,,,13,
,,"ITI Building, Gopinath Nagar",7,,,17,,,13,
,,"Khanapara, Central Dairy, Kamrup",8,,,17,,,13,
,,"Near Pragjyotish College, Santipur",7,,,18,,,13,
,Margherita,Coal India Office,8,,,17,,,12,
,Nagaon,"Water Resources Div., Christian Patty, Nagaon
College",6,,,17,,,13,
,Nalbari,"PWD Rural Div Office Complex, near Gordon
Boy's GS School",9,,,15,,,13,
,North Lakhimpur,"Bazar Patti, North Lakhimpur Town",10,,,15,,,13,
,Silchar,"Govt. Boys HS School, Janiganj",8,,,14,,,11,
,,"RLO, Ithkola Market, Ghaniwala Road",7,,,12,,,10,
,Sivasagar,Sibasagar Office Building,9,,,16,,,11,
,,"Usha Lodge, near ONGCL Colony",9,,,16,,,12,
,Tezpur,Tezpur Office Building,7,,,15,,,13,
,Tinsukia,"Digboi Carbon factory Campus, Borguri",8,,,17,,,12,
,,"Shreepuria, Borguri",9,,,16,,,12,
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",5,,,98,,,33,
,,"Gandhi Maidan, Auto Exhaust Test Centre
(Parivesh Bhawan)",12,,,82,,,25,
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",5,,,45,,,20,
,,Sector-17 C,5,,,32,,,15,
,,"Punjab Engineering College, Sector- 12",5,,,28,,,13,
,,"Sector-39, IMTECH",5,,,36,,,15,
,,Kaimbwala Village,5,,,52,,,13,
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",11,,,14,,,12,
