0,1,2,3,4,5,6,7,8,9,10
,,"Usha Lodge, near ONGCL Colony",4,,,8,,,6,
,Tezpur,Tezpur Office Building,4,,,9,,,6,
,Tinsukia,"Digboi Carbon factory Campus, Borguri",4,,,8,,,5,
,,"Shreepuria, Borguri",4,,,8,,,6,
,Patna,"Beltron Bhawan, Shastri Nagar",2,,,7,,,3,
,,"Gandhi Maidan, Auto Exhaust Test Centre
(Parivesh Bhawan)",2,,,12,,,3,
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",2,,,2,,,2,
,,Sector-17 C,2,,,2,,,2,
,,"Punjab Engineering College, Sector- 12",2,,,2,,,2,
,,"Sector-39, IMTECH",2,,,2,,,2,
,,Kaimbwala Village,2,,,2,,,2,
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",4,,,7,,,5,
,Durg-Bhillainagar,"Visak Hostel, Sector-4",4,,,8,,,5,
,,"R.O., 5/32 Banglow Office Building",3,,,7,,,4,
,,M.P. Laghu Udyog Nigam,4,,,10,,,7,
,,"CSIDC Industrial Growth Center, Borai, Durg",4,,,9,,,7,
,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",4,,,9,,,7,
,,"Pragati Nagar NTPC Colony, Jamnipali",5,,,8,,,7,
,,"I.T.I., Rampur",6,,,10,,,8,
,Raipur,"New HIG-9, Hirapur/Housing Board Complex
Kabir Nagar",8,,,20,,,13,
,,M/S Wool Worth India Pvt. Ltd. Sarora,6,,,18,,,13,
"Dadra & Nagar
Haveli and
Daman & Diu","Baldevi (Dadra &
Nagar Haveli)","Baldevi Village, Athola, Dandul Faliya, Teh:Dadra
& Nagar Haveli",6,,,14,,,11,
,Silvassa,"Khadoli Industrial Area, Khadoli",9,,,24,,,17,
,,"Chetan Guest House, Near Post Office, Piperia,
silvassa Char Rasta",9,,,23,,,16,
,Daman,"Prima Plastic, Kadaiya Industrial Area, Kadaiya",8,,,22,,,16,
,,"Mashal Chawk, Nani Daman",7,,,15,,,12,
,Patlara (Daman),"Makat Faliya/ Ambavadi, Patlara Village, Moti
Daman Teh:Daman",6,,,13,,,10,
,,"ITO, BSZ Marg",4,,,12,,,5,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,,Janakpuri,4,,,13,,,5,
,,Nizamuddin,4,,,9,,,4,
,,Pritampura,4,,,25,,,5,
,,Shahadra,4,,,10,,,4,
,,Shahzada Bagh,4,,,8,,,4,
,,Siri Fort,4,,,9,,,4,
Goa,Amona,"Amona, Bicholim",6,,,11,,,8,
,Assanora,"Assanora Junction, Bardez",6,,,11,,,9,
,Bicholim,Bicholim,6,,,11,,,9,
,Codli,"Codli Tisk, Ponda, Sanguem",6,,,11,,,8,
,Cuncolim,Cuncolim,5,,,12,,,9,
,Honda,"Honda Junction, Sattari",5,,,11,,,9,
,Kundaim,Kundaim Industrial Estate,6,,,11,,,9,
,Mapusa,Mapusa town,2,,,7,,,2,
,Margao,Margao Town,6,,,11,,,8,
,Mormugao,"MPT Quarters Baina (earlier Fire Brigade Station,
Port Trust)",2,,,5,,,2,
,Panaji,"Old GSPCB premises, Patto",2,,,4,,,2,
,Ponda,Ponda Town,6,,,11,,,8,
,Sanguem,"Near Railway Station at Kalem, Sanguem",5,,,11,,,8,
,Tilamol,"Quepem, Tilamol",6,,,11,,,9,
,Tuem,Tuem Industrial Estate,6,,,11,,,8,
,Usgao,"Usgao Plae, Junction, Ponda",6,,,11,,,9,
,Vasco,"Fuse Call Office, Mormugao",2,,,10,,,2,
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",5,,,22,,,14,
,,Cadilla Bridge Narol,5,,,21,,,14,
,,"Bhagavathi Estate, Keval Kanta Road, Rakhiyal",5,,,21,,,14,
,,"Reliable Products, 61/62 Ilaben
estate,PiranaDump Site,Narol (previous Dyno
Wash)",5,,,26,,,15,
,,L.D. Engg. College,5,,,22,,,13,
,,"Shardaben Hospital, Saraspur",5,,,22,,,14,
,,"R.C. Technical High School, Mirzapur",5,,,22,,,14,
,,"AZL Behrampura, Ahmadabad",6,,,22,,,14,
,Anklesvar,Rallis India Ltd.,7,,,23,,,15,
,,"Durga Traders, Bhavanafarm Society",7,,,23,,,15,
,Jamnagar,Fisheries Office,6,,,25,,,14,
,Rajkot,Nr. Sardhara Industrial Corporation,7,,,25,,,15,
,,GPCB Regional Offce,6,,,23,,,13,
,Surat,S.V.R. Engg. College,5,,,32,,,18,
,,"B.R.C. High School, Udhna",5,,,38,,,22,
,,Near Air India Office,5,,,37,,,19,
,Vadodara,"GPCB Office, Geri Vasahat",6,,,25,,,13,
,,"Sterling Gelatin Guest House, Vill-Karakhadi Padia",6,,,22,,,15,
,,Dandia Bazaar,6,,,25,,,14,
,,CETP Nandesari,6,,,25,,,15,
,Vapi,"GEB, IIIrd Phase, GIDC",7,,,32,,,20,
,,"Vapi Nagar Palika, Vapi",6,,,23,,,14,
,,Housing Board,2,,,2,,,2,
,Damtal,Regional Office,2,,,2,,,2,
,,Old Road,2,,,2,,,2,
,Dharamshala,Kotwali Bazar Dharamshala,2,,,2,,,2,
,,"Daari, Dharamshala",2,,,2,,,2,
,Kala Amb,Kala Amb Industrial Area,2,,,6,,,4,
,,Kala Amb Town/Trilokpur,2,,,5,,,3,
,Manali,"Nehru Park, Manali, Kullu",2,,,3,,,2,
,,"HPSPCB, Hadimba Road, Manali, Kullu",2,,,4,,,2,
,Nalagarh,Durga Mata Mandir (Municipal Council),2,,,2,,,2,
,Paonta Sahib,Paonta Sahib,2,,,6,,,3,
,,Gondhpur Industrial Area,2,,,5,,,3,
,Parwanoo,"Regional Office, Sector- 4",2,,,2,,,2,
,,Asst. Commissioner Building Sector I,2,,,2,,,2,
,Shimla,Tekka Bench Ridge,2,,,3,,,2,
,,"Bus Stand, Winterfield",2,,,2,,,2,
,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",2,,,2,,,2,
,,"Muncipal Council, NH-21, Mandi",2,,,2,,,2,
,Jammu,"Regional Office, Jammu",2,,,7,,,3,
,,"M.A. Stadium, Jewel Chowk",2,,,6,,,3,
,,Bari Brahamana Industrial Area,2,,,6,,,3,
City/Town/Village,,,,,,,,,,
,,,,,,,,,,
Location,,,,,,,,,,
,,,,,,,,,,
Annual,,,,,,,,,,
Average,,,,,,,,,,
State / UT,City/Town/Village,Location,,SO2 Concentration in µg/m3,,,,,,
,,,,Minimum,,,Maximum,,"Annual
Average",
,,,,(24-hourly,,,(24-hourly,,,
,,,,average),,,average),,,
,Dhanbad,R.O. Dhanbad,11,,,17,,,14,
,,"EMTI, Bastacola",12,,,16,,,14,
,,"CGM Office, Kusunda",12,,,18,,,13,
,Jamshedpur,Bistupur Vehical Testing Centre,17,,,43,,,30,
,,Golmuri Vehicle Testing Centre,16,,,44,,,30,
,Jharia,M.A.D.A.,12,,,17,,,14,
,Ranchi,"Albert Ekka Chowk, Main Road",17,,,19,,,17,
,Saraikela,"RO Building, Adityapur",17,,,44,,,29,
Karnataka,Bagalkote,Bagalkote KSPCB Office Premises,2,,,2,,,2,
,Bangalore,"Graphite India, White Field Road",2,,,2,,,2,
,,"AMCO Batteries, Mysore Road",2,,,3,,,2,
,,"KHB Industrial Area, Yelahanka",2,,,2,,,2,
,,Peenya Industrial Area,2,,,2,,,2,
,,Yeshwanthpura police station,2,,,2,,,2,
,,"Jnanabharathi, Bangalore University",2,,,4,,,3,
,,"TERI office, Vital Medi healthcare Pvt Ltd",2,,,2,,,2,
,Belgaum,Karnataka SPCB Office Building,2,,,2,,,2,
,Bidar,KSPCB Office Premises,2,,,11,,,4,
,Chitradurga,KSPCB Office Premises,2,,,16,,,3,
,Devanagere,"Regional Office building, KSPCB",2,,,19,,,5,
,,"Mothi Theatre, Gandhi Circle, P.B. Road / Traffic
Police Station",4,,,33,,,15,
,,"HPF Intakewell, Kumarapattnam",2,,,12,,,3,
,Gulburga,Government Hospital,2,,,7,,,3,
